"","F1"
"(Intercept)",0
"around",0.303822408580149
"ask",-0.148503788860986
"came",-0.298887893594447
"care",-0.341866083636035
"come",0.289046113571486
"dad",-0.0813687273407097
"dont",0.164377097295832
"everi",0.162571737693507
"face",0.469060489685698
"feel",0.198340947978648
"find",-0.419270638384395
"good",-0.27901633970674
"got",-0.310593515709474
"grade",0.313971440938039
"hard",-0.290117299005755
"hope",0.250079221599861
"know",-0.210071033456208
"leav",0.33582201498822
"let",-0.250136746869981
"life",-0.303354489789102
"littl",0.143363332753143
"long",-0.317358750434047
"look",-0.297577945150575
"love",-0.277913148627506
"middl",0.271533851426146
"never",0.362639488615623
"now",0.203848588921223
"realli",-0.153809284891905
"said",0.0874814864599486
"saw",-0.35575455775172
"see",-0.295565235295774
"take",0.202030797794364
"talk",-0.278775946910166
"teacher",0.0867108502250706
"thing",0.124183821376813
"thought",0.457241933407185
"time",-0.147661038581468
"told",0.294736270728173
"want",0.197427658111901
"way",0.422002467158677
"work",0.326994609065371
