"","a1","a2","d1","d2","d","g","u"
"q1p",1.3727992169774,0,0.0795866423673533,-1.93218749551032,NA,NA,NA
"q2p",1.50680076712767,0,-1.18187001089863,-3.20255864328331,NA,NA,NA
"q3p",2.28558566145073,0,-0.994886689588472,-3.61499382594311,NA,NA,NA
"q4p",1.94089536040085,0,0.0145730201386432,-2.08874510793703,NA,NA,NA
"q5p",1.45253117909539,0,-0.0963713036062462,-2.09319529898517,NA,NA,NA
"q6p",3.17454679750455,0,-0.394609514711094,-3.14621083119323,NA,NA,NA
"q7p",2.70049290531717,0,-0.625964186681438,-4.23073660752284,NA,NA,NA
"q8p",0.563697723672066,0,-0.361904628008822,-2.13462842595906,NA,NA,NA
"q9p",2.70716246825735,0,-0.925940221715377,-4.0176306368323,NA,NA,NA
"q10p",2.2118230125928,0,-0.981217342268594,-3.38992149041669,NA,NA,NA
"q11p",1.23269704862992,0,0.642396185649408,-1.37824002981192,NA,NA,NA
"q12p",0.881533083635081,0,0.490221550231961,-1.65039995814477,NA,NA,NA
"q13p",0.84800898973479,0,0.0969307053103152,-1.85860261676325,NA,NA,NA
"q14p",2.29394935798599,0,-0.066850930507556,-2.58230016559568,NA,NA,NA
"q15p",2.31946935025337,0,-1.37738507411211,-4.09521363923257,NA,NA,NA
"q17p",0.936901575160788,0,-0.529241131527899,-1.62866196364296,NA,NA,NA
"q18p",2.4579442280728,0,-0.304901297005748,-2.68906145262913,NA,NA,NA
"q19p",2.82324828339293,0,-0.747144819914777,-3.46794272882042,NA,NA,NA
"q20p",2.19181106499276,0,-2.26229095083766,-4.49487736470529,NA,NA,NA
"can",0.603864497528101,1.49844122936856,NA,NA,-2.29976829540359,0,1
"dont",0.54216711754951,1.3604476771071,NA,NA,-1.82986148240076,0,1
"everi",0.37463648626702,1.14148848220484,NA,NA,-1.89558567884141,0,1
"feel",0.494766961883538,1.12569232002893,NA,NA,-0.938719739096483,0,1
"never",0.469068465665384,1.18636471051814,NA,NA,-2.35005927109232,0,1
"saw_reversed",0.306788820297502,-1.00168711697465,NA,NA,2.24353663016125,0,1
"say",0.327218928436951,1.67940393827236,NA,NA,-2.52828742499788,0,1
"teacher",0.533712930272664,0.661559475605863,NA,NA,-2.24195374817459,0,1
"thought",0.717208883285335,1.48055218279549,NA,NA,-2.38716515475765,0,1
"want",0.537937402510505,1.63273312497346,NA,NA,-2.14002139326432,0,1
"will",0.509576429709003,1.47813876742255,NA,NA,-2.66119996276384,0,1
