"name","a1","a2","d1","d2","d","g","u","class","why_dropped"
"friend_reversed",-0.0424889521928071,-0.595552050961761,NA,NA,1.70869099802211,0,1,"dich","neg discrim"
"play",-0.0328424403485607,0.911215972610058,NA,NA,-1.90652360200507,0,1,"dich","neg discrim"
"just",-0.0276905485641697,1.58533390105205,NA,NA,-1.24908649990583,0,1,"dich","neg discrim"
"good_reversed",-0.0220924151988941,-0.582193934837596,NA,NA,1.76545387885642,0,1,"dich","neg discrim"
"moment",-0.00528726234946377,1.92258043633281,NA,NA,-2.3893723658786,0,1,"dich","neg discrim"
"also",0.00748901920996788,1.45186956821728,NA,NA,-2.1319038876855,0,1,"dich","low discrim"
"couldnt_reversed",0.0168374921411847,-2.13425413963814,NA,NA,3.05398379029024,0,1,"dich","low discrim"
"one_reversed",0.0118586216819487,-0.8692307920337,NA,NA,0.224154388168577,0,1,"dich","low discrim"
"sad",0.0227322622519446,0.668197735628678,NA,NA,-0.576216165997161,0,1,"dich","low discrim"
"life_reversed",0.0243579899771432,-1.40373638811803,NA,NA,2.53253776427358,0,1,"dich","low discrim"
"see_reversed",0.02691299404052,-2.26693292979881,NA,NA,3.15035415960187,0,1,"dich","low discrim"
"long_reversed",0.0175025132542305,-1.76299080673594,NA,NA,2.83394520755589,0,1,"dich","low discrim"
"exam",0.0325002519861533,-0.0835853887860256,NA,NA,-1.19984668022257,0,1,"dich","low discrim"
"school",0.0355863593114388,0.748014319926696,NA,NA,-0.655350994506321,0,1,"dich","low discrim"
"studi_reversed",0.0369218847522908,-0.39457749635313,NA,NA,1.88311065610199,0,1,"dich","low discrim"
"ask_reversed",0.0461003529019698,-1.90080352583352,NA,NA,2.65758221050055,0,1,"dich","low discrim"
"high",0.0464123217200349,0.635147230429721,NA,NA,-1.52007413419907,0,1,"dich","low discrim"
"felt_reversed",0.0488656560020872,-1.15785869791958,NA,NA,1.16496708923684,0,1,"dich","low discrim"
"back_reversed",0.0507483808170414,-2.27139720886287,NA,NA,2.64045479322228,0,1,"dich","low discrim"
"mom_reversed",0.0481287373383693,-1.41633840471628,NA,NA,2.39692672990481,0,1,"dich","low discrim"
"left_reversed",0.060563428588383,-0.996697033501112,NA,NA,2.34491016509389,0,1,"dich","low discrim"
"look_reversed",0.0618548597137334,-1.94952513089442,NA,NA,2.55358600788005,0,1,"dich","low discrim"
"well",0.0657221015175671,0.337453175838418,NA,NA,-1.26941898086634,0,1,"dich","low discrim"
"take_reversed",0.0671018982277417,-1.39647214462313,NA,NA,2.57002919462319,0,1,"dich","low discrim"
"didnt_reversed",0.0695524433459214,-1.06739920215789,NA,NA,0.958817895742413,0,1,"dich","low discrim"
"get_reversed",0.0722246310355876,-1.20714252121934,NA,NA,2.13056248325551,0,1,"dich","low discrim"
"said",0.0760888459049718,1.6167483280262,NA,NA,-2.22526643635345,0,1,"dich","low discrim"
"day",0.0795531174268594,1.50447321673195,NA,NA,-1.01539816611436,0,1,"dich","low discrim"
"famili",0.0883642656652015,0.68590232132761,NA,NA,-2.00740315800995,0,1,"dich","low discrim"
"pass_reversed",0.0931865132895009,-0.838795651398576,NA,NA,2.06044213087607,0,1,"dich","low discrim"
"littl",0.106803410923622,1.54237347630046,NA,NA,-2.42072684694729,0,1,"dich","low discrim"
"sinc",0.109286826631583,1.4542337761744,NA,NA,-2.61158899394314,0,1,"dich","low discrim"
"made",0.128318554442201,0.793714724451191,NA,NA,-1.79463231388151,0,1,"dich","low discrim"
"rememb_reversed",0.126565924189534,-1.25213844159344,NA,NA,2.46810758632903,0,1,"dich","low discrim"
"happen",0.131650792021662,0.898170443925024,NA,NA,-1.45885755642352,0,1,"dich","low discrim"
"happi",0.144394972810875,0.992394732328042,NA,NA,-2.29924772094246,0,1,"dich","low discrim"
"howev",0.148152387254417,0.905386337372171,NA,NA,-1.94070298220348,0,1,"dich","low discrim"
"still",0.150807326429717,1.35896826937211,NA,NA,-1.81926456755713,0,1,"dich","low discrim"
"return_reversed",0.160848913166265,-1.65347609704572,NA,NA,2.83222263547342,0,1,"dich","low discrim"
"away_reversed",0.15500016887385,-1.06642778055794,NA,NA,2.23589280978838,0,1,"dich","low discrim"
"realli",0.157366436822328,1.2371668576331,NA,NA,-1.65224225570246,0,1,"dich","low discrim"
"time",0.166822465121361,1.77841395409783,NA,NA,-0.668604164479023,0,1,"dich","low discrim"
"first",0.179603879073381,1.07409221776889,NA,NA,-1.96114210094405,0,1,"dich","low discrim"
"end",0.180237951351015,0.982059544981969,NA,NA,-2.34591949422614,0,1,"dich","low discrim"
"home_reversed",0.18586471543506,-1.26494913851102,NA,NA,1.58594598456266,0,1,"dich","low discrim"
"got_reversed",0.18513646458298,-1.26285461382275,NA,NA,2.43861933763137,0,1,"dich","low discrim"
"parent",0.190121128666223,0.731807009084753,NA,NA,-1.72275775049347,0,1,"dich","low discrim"
"make",0.19479287380292,0.975288732350205,NA,NA,-1.60420529467415,0,1,"dich","low discrim"
"cri_reversed",0.195631649062775,-1.25119290940843,NA,NA,2.06754914251015,0,1,"dich","low discrim"
"came_reversed",0.1963122857237,-1.1161588011633,NA,NA,2.34095961976614,0,1,"dich","low discrim"
"now",0.198022889383801,1.13198668950968,NA,NA,-1.73038079187215,0,1,"dich","low discrim"
"mani",0.202707821807323,1.28738948361151,NA,NA,-2.19240683862248,0,1,"dich","low discrim"
"saddest",0.20866418331571,0.0787428596963758,NA,NA,0.448404622796969,0,1,"dich","low discrim"
"thing",0.191134129033264,0.290779640573261,NA,NA,1.11556462511545,0,1,"dich","low discrim"
"much",0.208272996705111,1.31468985324482,NA,NA,-2.20976029916248,0,1,"dich","low discrim"
"even",0.209193774093331,1.55629690209352,NA,NA,-1.71270290495184,0,1,"dich","low discrim"
"hard",0.224483825543818,0.998737310179678,NA,NA,-1.98173153450695,0,1,"dich","low discrim"
"start",0.22389199014787,1.38263850976393,NA,NA,-2.48184055366691,0,1,"dich","low discrim"
"like",0.229432707610121,1.56308118666872,NA,NA,-1.48117911528837,0,1,"dich","low discrim"
"know",0.251953231552322,1.7002386937523,NA,NA,-2.20614220132589,0,1,"dich","low discrim"
"alway",0.262806819096706,1.2957318594907,NA,NA,-2.06371798739071,0,1,"dich","low discrim"
"grade",0.264000085572952,0.329996720424046,NA,NA,-1.9901704607288,0,1,"dich","low discrim"
"think",0.270731198448335,1.29326024369168,NA,NA,-2.14435403900065,0,1,"dich","low discrim"
"went_reversed",0.283878240133836,-1.09658054685555,NA,NA,2.02463085273712,0,1,"dich","low discrim"
