"GPT_Q1","GPT_Q2","GPT_Q3","GPT_Q4","GPT_Q5","GPT_Q6","person","rater"
2,2,3,2,1,2,1,1
1,1,1,2,0,0,1,2
3,3,3,3,2,3,1,3
2,1,2,2,1,2,2,1
1,0,1,1,0,0,2,2
3,2,3,2,2,2,2,3
1,1,2,1,1,1,3,1
0,0,0,1,0,0,3,2
3,2,3,2,1,2,3,3
1,2,1,1,2,1,4,1
0,0,0,1,0,0,4,2
2,2,2,2,2,1,4,3
2,1,3,2,1,2,5,1
1,0,2,1,0,1,5,2
3,2,4,3,2,3,5,3
2,1,2,2,0,2,6,1
1,0,1,1,0,1,6,2
3,2,3,3,1,3,6,3
3,2,3,2,2,2,7,1
1,1,2,1,1,1,7,2
3,2,4,3,2,2,7,3
2,1,1,2,1,1,8,1
1,0,1,1,0,0,8,2
3,2,2,3,1,3,8,3
1,2,2,1,1,1,9,1
1,1,0,0,0,0,9,2
2,3,2,3,0,3,9,3
1,0,3,0,1,1,10,1
1,0,2,0,0,0,10,2
3,2,4,3,2,3,10,3
1,1,1,2,1,2,11,1
1,0,1,1,0,0,11,2
3,2,2,3,2,3,11,3
2,1,2,1,1,2,12,1
1,0,1,1,1,0,12,2
3,2,3,3,2,3,12,3
2,2,2,2,2,2,13,1
1,1,1,1,1,1,13,2
3,2,3,3,3,3,13,3
2,1,2,2,2,2,14,1
1,0,1,1,0,1,14,2
3,3,3,3,2,2,14,3
1,0,0,0,0,0,15,1
0,0,0,0,0,0,15,2
2,3,0,0,0,0,15,3
2,1,2,3,2,1,16,1
1,0,1,1,0,0,16,2
3,2,3,4,3,3,16,3
1,0,2,1,1,1,17,1
0,0,1,0,0,0,17,2
3,2,3,3,2,3,17,3
2,2,2,1,1,1,18,1
1,1,1,0,0,1,18,2
3,3,3,2,1,3,18,3
1,1,2,2,1,1,19,1
1,0,1,1,0,0,19,2
3,2,3,3,2,3,19,3
2,1,2,2,1,2,20,1
1,0,1,1,0,1,20,2
3,2,2,3,2,3,20,3
2,1,2,2,1,2,21,1
1,0,1,1,0,0,21,2
3,2,4,3,2,2,21,3
2,1,1,2,1,1,22,1
1,0,1,1,0,0,22,2
3,2,3,3,2,2,22,3
2,1,1,2,2,1,23,1
1,0,1,1,1,0,23,2
3,2,3,3,2,3,23,3
2,1,2,3,0,1,24,1
1,0,1,2,0,0,24,2
3,2,4,4,1,3,24,3
2,1,2,3,1,2,25,1
1,0,1,2,0,1,25,2
3,2,2,3,2,2,25,3
2,2,3,2,1,2,26,1
1,0,1,1,0,1,26,2
3,2,4,3,1,3,26,3
2,1,2,2,1,2,27,1
1,0,1,1,0,0,27,2
3,2,3,3,2,2,27,3
2,1,1,2,3,1,28,1
1,0,1,0,1,0,28,2
3,2,3,3,3,3,28,3
2,1,2,3,1,1,29,1
1,0,0,2,0,0,29,2
3,2,3,4,1,3,29,3
2,1,2,1,2,1,30,1
1,0,1,1,0,0,30,2
3,3,2,3,1,2,30,3
3,2,3,2,2,2,31,1
2,1,1,1,0,1,31,2
3,2,3,3,2,2,31,3
2,1,1,1,2,2,32,1
1,0,0,0,0,0,32,2
3,2,3,3,2,3,32,3
1,2,1,2,1,1,33,1
1,1,1,1,0,0,33,2
3,2,2,3,2,3,33,3
1,1,1,1,1,1,34,1
0,0,0,0,1,0,34,2
2,2,1,1,0,1,34,3
1,1,2,1,2,1,35,1
0,0,1,1,1,0,35,2
2,3,2,3,1,2,35,3
2,2,2,2,2,2,36,1
1,0,1,2,1,1,36,2
3,2,3,3,3,2,36,3
1,2,1,1,1,0,37,1
0,0,0,1,0,0,37,2
3,2,2,3,2,2,37,3
3,2,1,2,2,1,38,1
1,1,1,1,0,1,38,2
3,3,2,3,2,2,38,3
2,1,3,2,1,2,39,1
1,1,2,1,0,1,39,2
3,2,4,3,1,3,39,3
2,1,2,2,0,2,40,1
1,0,1,1,0,0,40,2
3,2,3,3,1,2,40,3
2,2,3,2,2,2,41,1
1,1,2,2,1,1,41,2
3,3,4,3,2,3,41,3
2,1,2,2,0,2,42,1
1,0,1,2,0,1,42,2
3,2,4,3,1,2,42,3
2,1,2,1,2,2,43,1
1,0,1,0,1,1,43,2
3,2,2,3,1,3,43,3
2,1,2,2,2,2,44,1
1,0,1,1,1,0,44,2
3,2,3,3,3,3,44,3
2,1,3,3,2,2,45,1
1,0,2,2,1,0,45,2
3,2,4,4,2,3,45,3
1,1,2,1,1,2,46,1
1,0,1,0,0,0,46,2
3,2,3,2,1,2,46,3
3,2,3,3,2,2,47,1
2,1,2,2,1,1,47,2
3,2,4,4,2,3,47,3
1,0,1,1,1,2,48,1
1,0,0,1,0,0,48,2
3,2,3,3,4,1,48,3
3,2,3,2,2,1,49,1
1,1,2,1,1,1,49,2
4,3,3,4,2,3,49,3
2,1,3,2,2,2,50,1
1,0,2,1,1,0,50,2
