"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"1","all","q1p","graded","a1",1,1.42325518473428,-Inf,Inf,FALSE,"none",NA,NA
"2","all","q1p","graded","a2",2,0,-Inf,Inf,FALSE,"none",NA,NA
"3","all","q1p","graded","d1",3,0.0822530771775083,-Inf,Inf,FALSE,"none",NA,NA
"4","all","q1p","graded","d2",4,-1.95155035534216,-Inf,Inf,FALSE,"none",NA,NA
"5","all","q2p","graded","a1",5,1.508948837468,-Inf,Inf,FALSE,"none",NA,NA
"6","all","q2p","graded","a2",6,0,-Inf,Inf,FALSE,"none",NA,NA
"7","all","q2p","graded","d1",7,-1.18871021951503,-Inf,Inf,FALSE,"none",NA,NA
"8","all","q2p","graded","d2",8,-3.18712470810248,-Inf,Inf,FALSE,"none",NA,NA
"9","all","q3p","graded","a1",9,2.27613038719328,-Inf,Inf,FALSE,"none",NA,NA
"10","all","q3p","graded","a2",10,0,-Inf,Inf,FALSE,"none",NA,NA
"11","all","q3p","graded","d1",11,-0.99661100377613,-Inf,Inf,FALSE,"none",NA,NA
"12","all","q3p","graded","d2",12,-3.62486584541819,-Inf,Inf,FALSE,"none",NA,NA
"13","all","q4p","graded","a1",13,1.94837469387149,-Inf,Inf,FALSE,"none",NA,NA
"14","all","q4p","graded","a2",14,0,-Inf,Inf,FALSE,"none",NA,NA
"15","all","q4p","graded","d1",15,-0.00495304138008429,-Inf,Inf,FALSE,"none",NA,NA
"16","all","q4p","graded","d2",16,-2.11070584636423,-Inf,Inf,FALSE,"none",NA,NA
"17","all","q5p","graded","a1",17,1.46051578818336,-Inf,Inf,FALSE,"none",NA,NA
"18","all","q5p","graded","a2",18,0,-Inf,Inf,FALSE,"none",NA,NA
"19","all","q5p","graded","d1",19,-0.103623644989213,-Inf,Inf,FALSE,"none",NA,NA
"20","all","q5p","graded","d2",20,-2.11994402309699,-Inf,Inf,FALSE,"none",NA,NA
"21","all","q6p","graded","a1",21,3.20703205889997,-Inf,Inf,FALSE,"none",NA,NA
"22","all","q6p","graded","a2",22,0,-Inf,Inf,FALSE,"none",NA,NA
"23","all","q6p","graded","d1",23,-0.437108517140061,-Inf,Inf,FALSE,"none",NA,NA
"24","all","q6p","graded","d2",24,-3.20142685082571,-Inf,Inf,FALSE,"none",NA,NA
"25","all","q7p","graded","a1",25,2.7402648783531,-Inf,Inf,FALSE,"none",NA,NA
"26","all","q7p","graded","a2",26,0,-Inf,Inf,FALSE,"none",NA,NA
"27","all","q7p","graded","d1",27,-0.632537559602026,-Inf,Inf,FALSE,"none",NA,NA
"28","all","q7p","graded","d2",28,-4.24782641915977,-Inf,Inf,FALSE,"none",NA,NA
"29","all","q8p","graded","a1",29,0.568292945544708,-Inf,Inf,FALSE,"none",NA,NA
"30","all","q8p","graded","a2",30,0,-Inf,Inf,FALSE,"none",NA,NA
"31","all","q8p","graded","d1",31,-0.36157147245551,-Inf,Inf,FALSE,"none",NA,NA
"32","all","q8p","graded","d2",32,-2.12361286487554,-Inf,Inf,FALSE,"none",NA,NA
"33","all","q9p","graded","a1",33,2.77614907390593,-Inf,Inf,FALSE,"none",NA,NA
"34","all","q9p","graded","a2",34,0,-Inf,Inf,FALSE,"none",NA,NA
"35","all","q9p","graded","d1",35,-0.951941907488257,-Inf,Inf,FALSE,"none",NA,NA
"36","all","q9p","graded","d2",36,-4.08165563664397,-Inf,Inf,FALSE,"none",NA,NA
"37","all","q10p","graded","a1",37,2.17847895662542,-Inf,Inf,FALSE,"none",NA,NA
"38","all","q10p","graded","a2",38,0,-Inf,Inf,FALSE,"none",NA,NA
"39","all","q10p","graded","d1",39,-0.990148687393548,-Inf,Inf,FALSE,"none",NA,NA
"40","all","q10p","graded","d2",40,-3.37579159719217,-Inf,Inf,FALSE,"none",NA,NA
"41","all","q11p","graded","a1",41,1.22118471489255,-Inf,Inf,FALSE,"none",NA,NA
"42","all","q11p","graded","a2",42,0,-Inf,Inf,FALSE,"none",NA,NA
"43","all","q11p","graded","d1",43,0.629864279936633,-Inf,Inf,FALSE,"none",NA,NA
"44","all","q11p","graded","d2",44,-1.36930617995387,-Inf,Inf,FALSE,"none",NA,NA
"45","all","q12p","graded","a1",45,0.883675583095452,-Inf,Inf,FALSE,"none",NA,NA
"46","all","q12p","graded","a2",46,0,-Inf,Inf,FALSE,"none",NA,NA
"47","all","q12p","graded","d1",47,0.491764577226556,-Inf,Inf,FALSE,"none",NA,NA
