"","a1","a2","b1","b2","d1","d2","d3","d4"
"q1p",1.3727992169774,0,-0.0579739858408322,1.40748003904356,NA,NA,NA,NA
"q2p",1.50680076712766,0,0.784357186883815,2.12540284896999,NA,NA,NA,NA
"q3p",2.28558566145073,0,0.435287421674227,1.58164880315559,NA,NA,NA,NA
"q4p",1.94089536040085,0,-0.00750840072884373,1.07617605284277,NA,NA,NA,NA
"q5p",1.45253117909539,0,0.0663471497157565,1.44106737886947,NA,NA,NA,NA
"q6p",3.17454679750454,0,0.124304204625772,0.991074012097226,NA,NA,NA,NA
"q7p",2.70049290531717,0,0.23179627150619,1.56665347988609,NA,NA,NA,NA
"q8p",0.563697723672065,0,0.642018963020264,3.78683172969649,NA,NA,NA,NA
"q9p",2.70716246825734,0,0.342033488042343,1.484074444715,NA,NA,NA,NA
"q10p",2.2118230125928,0,0.443623805649063,1.53263686611293,NA,NA,NA,NA
"q11p",1.23269704862992,0,-0.521130626834387,1.11806873500977,NA,NA,NA,NA
"q12p",0.881533083635081,0,-0.55610113713542,1.87219287487112,NA,NA,NA,NA
"q13p",0.848008989734792,0,-0.114303865269906,2.19172513412213,NA,NA,NA,NA
"q14p",2.29394935798599,0,0.0291422869798002,1.1257005986666,NA,NA,NA,NA
"q15p",2.31946935025337,0,0.593836290167684,1.76558213144106,NA,NA,NA,NA
"q17p",0.936901575160789,0,0.564884450575368,1.73834905055364,NA,NA,NA,NA
"q18p",2.4579442280728,0,0.124047280456323,1.09402866912792,NA,NA,NA,NA
"q19p",2.82324828339293,0,0.264640139625577,1.22835201892081,NA,NA,NA,NA
"q20p",2.19181106499277,0,1.03215600421523,2.05075950044085,NA,NA,NA,NA
"GPT1",1.80730886895996,4.36080440450776,NA,NA,0.224888062446748,-7.74158621591844,-10.0003093364243,-12.0456659541732
"GPT2",1.87917359784799,4.96132209680458,NA,NA,3.49901363363404,-1.51991563252093,-8.30472752677487,NA
"GPT3",1.77639354127247,5.18084276858347,NA,NA,3.44858049929817,-2.65573264857054,-6.1480458920223,NA
"GPT4",1.30928101728602,4.09460948394336,NA,NA,-1.23208194705347,-7.65531777047803,-11.2533062291434,NA
"GPT5",0.61499600651143,2.17458923524152,NA,NA,5.77223933605345,3.46535148341347,0.90133030120648,-2.71406922350205
"GPT6",0.86471343219653,2.38078493201731,NA,NA,3.2382018349893,0.686462459835682,-2.02820682237194,-5.52999373740527
"GPT7",1.75844149639507,5.05657204673538,NA,NA,3.24543918278521,-2.23721924775543,-8.35149617767626,-13.2774933589331
"GPT8",1.32591536721979,3.90209330599042,NA,NA,1.65168139988964,-3.07599710580204,-6.88872383765518,NA
"GPT9",0.946171580689121,2.56036624047071,NA,NA,0.859879455512176,-3.07041809166766,-4.95598176863134,NA
"GPT10",2.14847833821437,5.7236133575413,NA,NA,1.5069623825151,-2.9095980842725,-8.54634524392114,-13.631778801969
