"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"1","all","q1p","graded","a1",1,1.3727992169774,-Inf,Inf,FALSE,"none",NA,NA
"2","all","q1p","graded","a2",2,0,-Inf,Inf,FALSE,"none",NA,NA
"3","all","q1p","graded","d1",3,0.0795866423673533,-Inf,Inf,FALSE,"none",NA,NA
"4","all","q1p","graded","d2",4,-1.93218749551032,-Inf,Inf,FALSE,"none",NA,NA
"5","all","q2p","graded","a1",5,1.50680076712766,-Inf,Inf,FALSE,"none",NA,NA
"6","all","q2p","graded","a2",6,0,-Inf,Inf,FALSE,"none",NA,NA
"7","all","q2p","graded","d1",7,-1.18187001089863,-Inf,Inf,FALSE,"none",NA,NA
"8","all","q2p","graded","d2",8,-3.20255864328331,-Inf,Inf,FALSE,"none",NA,NA
"9","all","q3p","graded","a1",9,2.28558566145073,-Inf,Inf,FALSE,"none",NA,NA
"10","all","q3p","graded","a2",10,0,-Inf,Inf,FALSE,"none",NA,NA
"11","all","q3p","graded","d1",11,-0.994886689588471,-Inf,Inf,FALSE,"none",NA,NA
"12","all","q3p","graded","d2",12,-3.61499382594311,-Inf,Inf,FALSE,"none",NA,NA
"13","all","q4p","graded","a1",13,1.94089536040085,-Inf,Inf,FALSE,"none",NA,NA
"14","all","q4p","graded","a2",14,0,-Inf,Inf,FALSE,"none",NA,NA
"15","all","q4p","graded","d1",15,0.0145730201386432,-Inf,Inf,FALSE,"none",NA,NA
"16","all","q4p","graded","d2",16,-2.08874510793703,-Inf,Inf,FALSE,"none",NA,NA
"17","all","q5p","graded","a1",17,1.45253117909539,-Inf,Inf,FALSE,"none",NA,NA
"18","all","q5p","graded","a2",18,0,-Inf,Inf,FALSE,"none",NA,NA
"19","all","q5p","graded","d1",19,-0.0963713036062462,-Inf,Inf,FALSE,"none",NA,NA
"20","all","q5p","graded","d2",20,-2.09319529898517,-Inf,Inf,FALSE,"none",NA,NA
"21","all","q6p","graded","a1",21,3.17454679750454,-Inf,Inf,FALSE,"none",NA,NA
"22","all","q6p","graded","a2",22,0,-Inf,Inf,FALSE,"none",NA,NA
"23","all","q6p","graded","d1",23,-0.394609514711094,-Inf,Inf,FALSE,"none",NA,NA
"24","all","q6p","graded","d2",24,-3.14621083119323,-Inf,Inf,FALSE,"none",NA,NA
"25","all","q7p","graded","a1",25,2.70049290531717,-Inf,Inf,FALSE,"none",NA,NA
"26","all","q7p","graded","a2",26,0,-Inf,Inf,FALSE,"none",NA,NA
"27","all","q7p","graded","d1",27,-0.625964186681438,-Inf,Inf,FALSE,"none",NA,NA
"28","all","q7p","graded","d2",28,-4.23073660752284,-Inf,Inf,FALSE,"none",NA,NA
"29","all","q8p","graded","a1",29,0.563697723672065,-Inf,Inf,FALSE,"none",NA,NA
"30","all","q8p","graded","a2",30,0,-Inf,Inf,FALSE,"none",NA,NA
"31","all","q8p","graded","d1",31,-0.361904628008823,-Inf,Inf,FALSE,"none",NA,NA
"32","all","q8p","graded","d2",32,-2.13462842595906,-Inf,Inf,FALSE,"none",NA,NA
"33","all","q9p","graded","a1",33,2.70716246825734,-Inf,Inf,FALSE,"none",NA,NA
"34","all","q9p","graded","a2",34,0,-Inf,Inf,FALSE,"none",NA,NA
"35","all","q9p","graded","d1",35,-0.925940221715379,-Inf,Inf,FALSE,"none",NA,NA
"36","all","q9p","graded","d2",36,-4.0176306368323,-Inf,Inf,FALSE,"none",NA,NA
"37","all","q10p","graded","a1",37,2.2118230125928,-Inf,Inf,FALSE,"none",NA,NA
"38","all","q10p","graded","a2",38,0,-Inf,Inf,FALSE,"none",NA,NA
"39","all","q10p","graded","d1",39,-0.981217342268594,-Inf,Inf,FALSE,"none",NA,NA
"40","all","q10p","graded","d2",40,-3.38992149041669,-Inf,Inf,FALSE,"none",NA,NA
"41","all","q11p","graded","a1",41,1.23269704862992,-Inf,Inf,FALSE,"none",NA,NA
"42","all","q11p","graded","a2",42,0,-Inf,Inf,FALSE,"none",NA,NA
"43","all","q11p","graded","d1",43,0.642396185649407,-Inf,Inf,FALSE,"none",NA,NA
"44","all","q11p","graded","d2",44,-1.37824002981192,-Inf,Inf,FALSE,"none",NA,NA
"45","all","q12p","graded","a1",45,0.881533083635081,-Inf,Inf,FALSE,"none",NA,NA
"46","all","q12p","graded","a2",46,0,-Inf,Inf,FALSE,"none",NA,NA
"47","all","q12p","graded","d1",47,0.490221550231962,-Inf,Inf,FALSE,"none",NA,NA
"48","all","q12p","graded","d2",48,-1.65039995814477,-Inf,Inf,FALSE,"none",NA,NA
"49","all","q13p","graded","a1",49,0.848008989734792,-Inf,Inf,FALSE,"none",NA,NA
"50","all","q13p","graded","a2",50,0,-Inf,Inf,FALSE,"none",NA,NA
"51","all","q13p","graded","d1",51,0.0969307053103151,-Inf,Inf,FALSE,"none",NA,NA
"52","all","q13p","graded","d2",52,-1.85860261676325,-Inf,Inf,FALSE,"none",NA,NA
"53","all","q14p","graded","a1",53,2.29394935798599,-Inf,Inf,FALSE,"none",NA,NA
"54","all","q14p","graded","a2",54,0,-Inf,Inf,FALSE,"none",NA,NA
"55","all","q14p","graded","d1",55,-0.0668509305075561,-Inf,Inf,FALSE,"none",NA,NA
"56","all","q14p","graded","d2",56,-2.58230016559568,-Inf,Inf,FALSE,"none",NA,NA
"57","all","q15p","graded","a1",57,2.31946935025337,-Inf,Inf,FALSE,"none",NA,NA
"58","all","q15p","graded","a2",58,0,-Inf,Inf,FALSE,"none",NA,NA
"59","all","q15p","graded","d1",59,-1.37738507411211,-Inf,Inf,FALSE,"none",NA,NA
"60","all","q15p","graded","d2",60,-4.09521363923257,-Inf,Inf,FALSE,"none",NA,NA
"61","all","q17p","graded","a1",61,0.936901575160789,-Inf,Inf,FALSE,"none",NA,NA
"62","all","q17p","graded","a2",62,0,-Inf,Inf,FALSE,"none",NA,NA
"63","all","q17p","graded","d1",63,-0.529241131527899,-Inf,Inf,FALSE,"none",NA,NA
"64","all","q17p","graded","d2",64,-1.62866196364296,-Inf,Inf,FALSE,"none",NA,NA
"65","all","q18p","graded","a1",65,2.4579442280728,-Inf,Inf,FALSE,"none",NA,NA
"66","all","q18p","graded","a2",66,0,-Inf,Inf,FALSE,"none",NA,NA
"67","all","q18p","graded","d1",67,-0.304901297005748,-Inf,Inf,FALSE,"none",NA,NA
"68","all","q18p","graded","d2",68,-2.68906145262913,-Inf,Inf,FALSE,"none",NA,NA
