"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"1","all","q1p","graded","a1",1,1.3727992169774,-Inf,Inf,FALSE,"none",NA,NA
"2","all","q1p","graded","d1",2,0.0795866423673532,-Inf,Inf,FALSE,"none",NA,NA
"3","all","q1p","graded","d2",3,-1.93218749551032,-Inf,Inf,FALSE,"none",NA,NA
"4","all","q2p","graded","a1",4,1.50680076712767,-Inf,Inf,FALSE,"none",NA,NA
"5","all","q2p","graded","d1",5,-1.18187001089863,-Inf,Inf,FALSE,"none",NA,NA
"6","all","q2p","graded","d2",6,-3.20255864328331,-Inf,Inf,FALSE,"none",NA,NA
"7","all","q3p","graded","a1",7,2.28558566145073,-Inf,Inf,FALSE,"none",NA,NA
"8","all","q3p","graded","d1",8,-0.994886689588472,-Inf,Inf,FALSE,"none",NA,NA
"9","all","q3p","graded","d2",9,-3.61499382594311,-Inf,Inf,FALSE,"none",NA,NA
"10","all","q4p","graded","a1",10,1.94089536040085,-Inf,Inf,FALSE,"none",NA,NA
"11","all","q4p","graded","d1",11,0.0145730201386432,-Inf,Inf,FALSE,"none",NA,NA
"12","all","q4p","graded","d2",12,-2.08874510793703,-Inf,Inf,FALSE,"none",NA,NA
"13","all","q5p","graded","a1",13,1.45253117909539,-Inf,Inf,FALSE,"none",NA,NA
"14","all","q5p","graded","d1",14,-0.0963713036062462,-Inf,Inf,FALSE,"none",NA,NA
"15","all","q5p","graded","d2",15,-2.09319529898517,-Inf,Inf,FALSE,"none",NA,NA
"16","all","q6p","graded","a1",16,3.17454679750455,-Inf,Inf,FALSE,"none",NA,NA
"17","all","q6p","graded","d1",17,-0.394609514711094,-Inf,Inf,FALSE,"none",NA,NA
"18","all","q6p","graded","d2",18,-3.14621083119323,-Inf,Inf,FALSE,"none",NA,NA
"19","all","q7p","graded","a1",19,2.70049290531717,-Inf,Inf,FALSE,"none",NA,NA
"20","all","q7p","graded","d1",20,-0.625964186681438,-Inf,Inf,FALSE,"none",NA,NA
"21","all","q7p","graded","d2",21,-4.23073660752284,-Inf,Inf,FALSE,"none",NA,NA
"22","all","q8p","graded","a1",22,0.563697723672066,-Inf,Inf,FALSE,"none",NA,NA
"23","all","q8p","graded","d1",23,-0.361904628008822,-Inf,Inf,FALSE,"none",NA,NA
"24","all","q8p","graded","d2",24,-2.13462842595906,-Inf,Inf,FALSE,"none",NA,NA
"25","all","q9p","graded","a1",25,2.70716246825735,-Inf,Inf,FALSE,"none",NA,NA
"26","all","q9p","graded","d1",26,-0.925940221715377,-Inf,Inf,FALSE,"none",NA,NA
"27","all","q9p","graded","d2",27,-4.0176306368323,-Inf,Inf,FALSE,"none",NA,NA
"28","all","q10p","graded","a1",28,2.2118230125928,-Inf,Inf,FALSE,"none",NA,NA
"29","all","q10p","graded","d1",29,-0.981217342268594,-Inf,Inf,FALSE,"none",NA,NA
"30","all","q10p","graded","d2",30,-3.38992149041669,-Inf,Inf,FALSE,"none",NA,NA
"31","all","q11p","graded","a1",31,1.23269704862992,-Inf,Inf,FALSE,"none",NA,NA
"32","all","q11p","graded","d1",32,0.642396185649408,-Inf,Inf,FALSE,"none",NA,NA
"33","all","q11p","graded","d2",33,-1.37824002981192,-Inf,Inf,FALSE,"none",NA,NA
"34","all","q12p","graded","a1",34,0.88153308363508,-Inf,Inf,FALSE,"none",NA,NA
"35","all","q12p","graded","d1",35,0.490221550231961,-Inf,Inf,FALSE,"none",NA,NA
"36","all","q12p","graded","d2",36,-1.65039995814477,-Inf,Inf,FALSE,"none",NA,NA
"37","all","q13p","graded","a1",37,0.84800898973479,-Inf,Inf,FALSE,"none",NA,NA
"38","all","q13p","graded","d1",38,0.0969307053103152,-Inf,Inf,FALSE,"none",NA,NA
"39","all","q13p","graded","d2",39,-1.85860261676325,-Inf,Inf,FALSE,"none",NA,NA
"40","all","q14p","graded","a1",40,2.29394935798599,-Inf,Inf,FALSE,"none",NA,NA
"41","all","q14p","graded","d1",41,-0.066850930507556,-Inf,Inf,FALSE,"none",NA,NA
"42","all","q14p","graded","d2",42,-2.58230016559568,-Inf,Inf,FALSE,"none",NA,NA
"43","all","q15p","graded","a1",43,2.31946935025337,-Inf,Inf,FALSE,"none",NA,NA
"44","all","q15p","graded","d1",44,-1.37738507411211,-Inf,Inf,FALSE,"none",NA,NA
"45","all","q15p","graded","d2",45,-4.09521363923257,-Inf,Inf,FALSE,"none",NA,NA
"46","all","q17p","graded","a1",46,0.936901575160788,-Inf,Inf,FALSE,"none",NA,NA
"47","all","q17p","graded","d1",47,-0.529241131527899,-Inf,Inf,FALSE,"none",NA,NA
"48","all","q17p","graded","d2",48,-1.62866196364296,-Inf,Inf,FALSE,"none",NA,NA
"49","all","q18p","graded","a1",49,2.4579442280728,-Inf,Inf,FALSE,"none",NA,NA
"50","all","q18p","graded","d1",50,-0.304901297005748,-Inf,Inf,FALSE,"none",NA,NA
"51","all","q18p","graded","d2",51,-2.68906145262913,-Inf,Inf,FALSE,"none",NA,NA
"52","all","q19p","graded","a1",52,2.82324828339293,-Inf,Inf,FALSE,"none",NA,NA
"53","all","q19p","graded","d1",53,-0.747144819914776,-Inf,Inf,FALSE,"none",NA,NA
"54","all","q19p","graded","d2",54,-3.46794272882042,-Inf,Inf,FALSE,"none",NA,NA
"55","all","q20p","graded","a1",55,2.19181106499276,-Inf,Inf,FALSE,"none",NA,NA
"56","all","q20p","graded","d1",56,-2.26229095083766,-Inf,Inf,FALSE,"none",NA,NA
"57","all","q20p","graded","d2",57,-4.49487736470529,-Inf,Inf,FALSE,"none",NA,NA
"58","all","GPT1","graded","a1",58,0.573470896510011,-Inf,Inf,TRUE,"none",NA,NA
"59","all","GPT1","graded","d1",59,0.215044479819079,-Inf,Inf,TRUE,"none",NA,NA
"60","all","GPT1","graded","d2",60,-3.34579280406236,-Inf,Inf,TRUE,"none",NA,NA
"61","all","GPT1","graded","d3",61,-4.85504668498189,-Inf,Inf,TRUE,"none",NA,NA
"62","all","GPT1","graded","d4",62,-6.25441658127124,-Inf,Inf,TRUE,"none",NA,NA
"63","all","GROUP","GroupPars","MEAN_1",63,0,-Inf,Inf,FALSE,"none",NA,NA
"64","all","GROUP","GroupPars","COV_11",64,1,1e-04,Inf,FALSE,"none",NA,NA
