k,Baseline,All Texts,Top 5 Texts,SE_pct_reduction_vs_baseline__All Texts,SE_pct_reduction_vs_baseline__Top 5 Texts
0,NA,0.69,0.77,NA,NA
1,0.72,0.58,0.62,19.09,13.23
2,0.6,0.52,0.55,14.36,9.49
3,0.55,0.48,0.5,12.56,8.13
4,0.51,0.45,0.47,11.85,7.96
5,0.48,0.42,0.44,11.34,7.54
6,0.45,0.41,0.42,10.59,6.89
7,0.44,0.39,0.4,10.45,7.23
8,0.42,0.38,0.39,10.23,6.85
9,0.41,0.37,0.38,10.18,7.04
10,0.4,0.36,0.37,9.24,6.27
11,0.39,0.35,0.36,8.95,6.14
12,0.38,0.35,0.36,8.93,5.87
13,0.37,0.34,0.35,8.45,5.73
14,0.37,0.34,0.35,8.08,5.34
15,0.37,0.34,0.35,8.29,5.59
16,0.36,0.33,0.34,8.04,5.35
17,0.36,0.33,0.34,8.18,5.52
18,0.36,0.33,0.34,8.02,5.41
19,0.36,0.33,0.34,8.08,5.44
