k,Baseline,All Texts,Top 5 Texts,dR2_vs_baseline__All Texts,dR2_vs_baseline__Top 5 Texts
0,NA,0.18,0.17,NA,NA
1,0.17,0.24,0.22,0.06,0.05
2,0.19,0.25,0.24,0.05,0.05
3,0.23,0.26,0.25,0.03,0.02
4,0.2,0.25,0.24,0.05,0.04
5,0.2,0.23,0.23,0.04,0.03
6,0.19,0.23,0.23,0.04,0.03
7,0.2,0.23,0.23,0.03,0.03
8,0.21,0.23,0.23,0.03,0.03
9,0.21,0.24,0.23,0.03,0.02
10,0.22,0.24,0.23,0.02,0.01
11,0.21,0.24,0.23,0.02,0.02
12,0.22,0.23,0.23,0.02,0.01
13,0.22,0.24,0.23,0.02,0.02
14,0.21,0.24,0.23,0.02,0.02
15,0.21,0.23,0.23,0.02,0.02
16,0.21,0.23,0.22,0.02,0.02
17,0.2,0.23,0.22,0.02,0.02
18,0.21,0.23,0.23,0.02,0.02
19,0.21,0.23,0.23,0.02,0.02
