Threshold,k,Baseline,Top 5 Texts,All Texts
0.3,0,NA,0,0
0.3,1,0,0,0
0.3,2,0,0,0
0.3,3,0,0,0
0.3,4,0,0,0
0.3,5,0,0,0
0.3,6,0,0.01,0.12
0.3,7,0.09,0.26,0.29
0.3,8,0.3,0.34,0.38
0.3,9,0.32,0.39,0.44
0.3,10,0.35,0.42,0.46
0.3,11,0.42,0.45,0.49
0.3,12,0.44,0.46,0.5
0.3,13,0.45,0.48,0.52
0.3,14,0.47,0.5,0.52
0.3,15,0.48,0.5,0.52
0.3,16,0.49,0.51,0.53
0.3,17,0.5,0.51,0.54
0.3,18,0.5,0.51,0.54
0.3,19,0.5,0.51,0.54
0.35,0,NA,0,0
0.35,1,0,0,0
0.35,2,0,0,0
0.35,3,0,0,0
0.35,4,0,0.03,0.16
0.35,5,0.1,0.32,0.38
0.35,6,0.37,0.42,0.45
0.35,7,0.4,0.46,0.47
0.35,8,0.44,0.51,0.54
0.35,9,0.48,0.53,0.56
0.35,10,0.53,0.55,0.58
0.35,11,0.54,0.57,0.58
0.35,12,0.55,0.58,0.59
0.35,13,0.56,0.59,0.59
0.35,14,0.57,0.59,0.59
0.35,15,0.58,0.61,0.61
0.35,16,0.59,0.62,0.63
0.35,17,0.59,0.62,0.62
0.35,18,0.59,0.62,0.62
0.35,19,0.6,0.62,0.62
0.4,0,NA,0,0
0.4,1,0,0,0
0.4,2,0,0,0
0.4,3,0,0.16,0.35
0.4,4,0.25,0.41,0.45
0.4,5,0.45,0.49,0.52
0.4,6,0.5,0.55,0.57
0.4,7,0.53,0.58,0.59
0.4,8,0.55,0.6,0.61
0.4,9,0.58,0.61,0.64
0.4,10,0.6,0.62,0.67
0.4,11,0.62,0.63,0.67
0.4,12,0.63,0.65,0.7
0.4,13,0.64,0.66,0.72
0.4,14,0.64,0.67,0.73
0.4,15,0.64,0.68,0.73
0.4,16,0.67,0.7,0.73
0.4,17,0.67,0.7,0.74
0.4,18,0.67,0.7,0.74
0.4,19,0.67,0.7,0.74
