q1p,q2p,q3p,q4p,q5p,q6p,q7p,q8p,q9p,q10p,q11p,q12p,q13p,q14p,q15p,q17p,q18p,q19p,q20p,ID,true_theta,theta_hat,tru_th_percentile,age,gender,location,hobby,poss_future_degree,E,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC1a,SC9a,SC1d,SC7d,SC4d,SC3d,Ec,SC8b,Eb,SC4c,SC4b,SC6d,SC5a,SC2b,SC7c,SC5d,SC8a,SC6a,SC5b,SC7a,SC9d,SC3b,SC3a,SC6b,SC9c,SC5c,SC9b,SC2c,SC8c,SC3c,SC7b,Ed,SC1c,SC2a,SC8d,SC4a,Ea,SC1b,SC6c,SC2d,SC10b,SC10a,SC12b,SC11d,SC10d,SC10c,SC11a,SC12c,SC11c,SC11b,SC12d,SC12a
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2917,1.89550561820048,,97,16,female,California,sports science,Performing Arts,"The saddest experience I have had happened on a day that started out like any other. It was a Saturday afternoon, and I was excited for a basketball game with my teammates. Playing sports has always been my escape; it’s where I feel the happiest and most alive. But that weekend proved to be different.

When I got home after practice, I could feel a heavy weight in the air. My mom was sitting at the kitchen table, her face pale and taut. I noticed the crinkled paper in her hand—it was a letter from my school. As I approached her, my heart sank when I realized what it was about. I had been struggling with the pressures of school, and my grades had slipped significantly. The letter was from the principal, outlining the potential consequences of my academic performance. My mom looked at me with disappointment, and in that moment, I felt like I had let down the one person who believed in me.

We talked for hours, but each word cut deeper into my heart. I wanted to explain how overwhelming everything felt—the stress of trying to balance academics, sports, and my personal life. But the words wouldn’t come out. I felt frozen, like the world was moving around me, but I was stuck in place. I could see the worry in her eyes, and it broke my heart to know I was causing her pain.

That evening, I tried to distract myself by putting on my basketball shoes and heading to the court. I thought maybe the rhythm of dribbling the ball would help clear my mind. But as I played, I couldn’t shake the feelings of inadequacy and sadness. Each missed shot felt like another reminder that I was failing—not just at school, but at managing my life.

Looking back, this experience highlighted a deeper sadness I struggled with for a long time. I realized I was not just dealing with academic pressures; I was also fighting against a pervasive sense of hopelessness that often taunted me. That day taught me that it’s okay to feel lost, but it also made me more determined to find help and pursue the dreams that truly make me happy, like sports science and eventually, performing arts. Understanding my emotions is the first step toward healing, and I continue to work on that every day.","In the past week, I felt overwhelmed but hopeful.",struggle,Uncertain.,Dream of escape.,I actually feel overwhelmed.,"Very supportive, yet complicated.","At night, I often feel alone.",Focus on wellness.,Reach out for help.,Deterior,Slice vegetables,Focus on sports.,3,4,2,3,3.0,3,3,2,4,3,4,2,4,3,3,4,3,3,4,4,2,3,4,2,3,3,4,3,3,3,3,3,3,4,2,4,4,2,3,3.0,5,5,1,2,4,3,3,3,3,1,2.0,3
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2919,1.90616579696862,,97,16,female,Iowa,pinball,Political Science,"The saddest experience I have had happened on my sixteenth birthday. Instead of celebrating, I spent the day alone at home, feeling more isolated than ever. My friends had made plans without me, and I felt invisible. I turned to my favorite pinball machine, but even the flashing lights and cheerful sounds couldn’t lift my spirits. I remember staring at the scores, wishing I could hit “reset” on my life. In that moment, I realized how lonely I felt, and it made me question why I struggled to connect with others. That birthday was a reminder of the sadness that often surrounds me.",ate pizza.,play pinball to escape reality.,Feels heavy.,Dream.,I actually enjoy playing pinball alone.,complicated.,"At night, I often play pinball.",Laugh.,"Reach out, connect.",Has been challenging lately.,Wound,Play pinball.,3,3,2,2,2.0,3,3,1,4,3,1,3,3,2,3,2,4,4,1,3,2,4,4,4,3,3,1,3,3,4,1,4,3,4,2,3,4,1,3,3.0,2,4,1,3,3,3,4,3,3,3,2.0,3
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2926,1.93204337018629,,97,15,female,Pennsylvania,cricket,Philosophy,"The saddest experience I have had occurred last summer when my best friend decided to move away. We used to spend endless afternoons playing cricket in the park, laughing and dreaming about the future. When her family announced they were relocating to another state, I felt my heart shatter. 

On her last day, we shared memories, but I couldn’t shake the emptiness that enveloped me. As I watched her drive away, a wave of loneliness washed over me, leaving me feeling abandoned. 

Since then, I’ve struggled to find joy, even in things I once loved. My passion for cricket has dimmed, and I often feel lost in my thoughts. It was the beginning of a heavy sadness that still lingers today.",battled my thoughts while playing cricket.,My parents don't know that I cry silently.,It fluctuates between hope and sadness.,Dream.,"I actually enjoy cricket, but struggle with feeling happy.",My family understands.,think about everything silently.,Improve my game.,I should take time for myself and focus on cricket.,Has been challenging.,Slice through my thoughts.,Play cricket passionately.,4,3,3,3,2.0,3,3,1,4,3,1,2,4,4,3,3,3,3,4,4,2,3,4,1,3,3,1,3,3,3,2,4,3,4,2,3,4,2,3,3.0,2,4,1,4,3,3,5,3,3,4,1.0,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2927,1.93276653310468,,97,16,male,Iowa,bridge,Physics,"The saddest experience I have had occurred on a chilly Friday evening. I was sitting at the dining room table, a game of bridge set up in front of me. It was my favorite way to spend time with my family. But that night, something felt different. My parents were unusually quiet, their faces etched with worry. I learned that my grandmother, who had always been my biggest supporter, was sick—really sick. She had been diagnosed with a terminal illness.

The news hit me hard. I could hardly focus on the game, which usually brought me joy. As the cards shuffled, my mind wandered to memories of her laughter, the way she taught me how to play bridge, and the countless stories she had shared about her life. I remembered how she always made me feel understood, especially during those tough teen years when I often felt out of place—like a bridge card that didn’t quite fit. 

As the days passed, I struggled to cope. I found myself retreating into my room often, drowning in my thoughts, feeling a deep sadness that I couldn’t shake. It was as if a heavy cloud had settled over me, one that made everything gray and dull. 

Her passing felt like losing the one person who truly saw me, who understood my passion for numbers and strategy. I still play bridge, but it’s bittersweet now. That experience, filled with love, loss, and longing, remains the saddest chapter of my life, reminding me of the fragility of relationships and how easily joy can slip away.","battled my thoughts, played bridge.",hate myself,It’s hard to smile.,Feel the weight of the world.,"I actually enjoy playing bridge, but sometimes feel overwhelmed by my thoughts and emotions.",distant.,daydream.,Play bridge.,Talk to someone.,Has been challenging.,Slice through emotions,Practice bridge strategy and manage my feelings.,4,3,3,2,4.0,3,3,1,4,3,4,3,4,5,3,3,3,4,3,3,2,4,5,4,3,3,2,4,3,4,1,3,3,5,2,4,4,3,3,5.0,2,4,2,3,3,3,5,3,3,3,3.0,4
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,2929,1.93471893668391,,97,15,female,Wisconsin,shooting,Food and Nutrition,Loss.,ate my favorite healthy snack.,feel overwhelmed,Uncertain.,Dream of brighter days ahead.,I actually enjoy shooting to escape my thoughts.,complicated.,practice,Compete.,Reach out for help.,Deterior,Slice through tough skin.,Focus on shooting and self-care.,2,4,2,2,1.0,3,3,1,5,3,1,3,5,3,3,4,3,4,5,3,2,3,4,4,3,3,4,3,3,3,1,3,3,4,2,3,3,1,3,3.0,5,5,3,2,4,3,3,3,3,1,2.0,4
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,2931,1.93895044816931,,97,16,female,Utah,publishing,Information Technology,The saddest experience I have had was losing my best friend. Her sudden departure left an emptiness inside me that I can’t seem to fill.,struggled,want to be happy.,Heavy.,Dream of brighter days.,"I actually enjoy writing, though I feel overwhelmed.","My family supports me, but feels distant.",Write.,Focus on self-care.,I should seek support.,Could be better.,Heal,Finish my writing project.,5,3,3,2,3.0,4,3,1,3,3,3,3,4,4,3,3,3,4,3,3,2,5,5,3,3,3,3,3,3,3,1,3,3,4,2,4,3,4,3,3.0,2,4,1,3,3,3,5,3,3,1,2.0,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2932,1.9517075953486,,97,16,male,Virginia,trainspotting,Engineering,"The saddest experience I have had happened on a cold autumn afternoon when I was out trainspotting at the old station near my home. I had been waiting for hours, hoping to catch a glimpse of my favorite steam engine. Instead, I received a text that my best friend had moved away. We shared countless days exploring the tracks and dreaming about our futures. When I found out he was leaving, it felt like a piece of my world had disappeared. The sound of distant trains echoed in the background, but instead of excitement, I felt an overwhelming emptiness. I sat on the platform, tears streaming down my face, feeling utterly alone. That day reminded me how fragile connections can be and how deeply sadness can settle in.",watched trains and felt inspired.,feel so alone.,Uncertain.,"...watch trains pass, dreaming of better days.",I actually enjoy trainspotting alone.,Doesn’t always understand me well.,Train dream.,Focus on my trainspotting and hobbies.,Reach out.,Deterior,Slice through metal.,Go trainspotting again.,3,3,1,2,3.0,3,3,1,3,3,3,2,3,4,3,2,3,4,1,4,2,3,4,2,3,3,2,3,3,3,1,3,3,5,2,4,3,1,3,3.0,5,5,1,2,4,3,4,3,3,1,2.0,3
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,2941,2.02979136190022,,98,16,female,California,research,Arts Management,"The saddest experience I have had was during my sophomore year when I lost my closest friend, Lily, to a sudden illness. We had shared countless memories, from late-night study sessions to spontaneous trips to the beach. Her laughter always filled the room, and I treasured our bond like a fragile work of art. When I received the call about her passing, I felt a heavy weight in my chest, as if the world around me had blurred into a monochrome haze.

In the days that followed, I struggled to navigate through my grief. School felt different, and the joy I once found in my research projects dissipated. I spent countless nights thinking of what I could have done differently, trapped in a cycle of sadness that mirrored my thoughts. Losing Lily taught me the value of life and friendship, but it also left a void that still aches in my heart.",felt overwhelmed.,feel overwhelmed by everything daily.,Heavy.,"Feel the weight of the world pressing down, heavy.","I actually feel overwhelmed, yet curious.",Complicated.,feel overwhelmed by thoughts.,Focus on research.,I should seek support and understand.,"Deteriorated, but I'm managing it.",Bring a quick resolution.,Focus on my research.,4,3,3,3,4.0,4,3,1,4,4,4,3,3,4,3,3,3,4,3,4,2,5,5,3,3,3,2,3,3,3,4,3,3,4,2,5,4,4,3,3.0,3,4,1,4,3,3,4,3,3,2,2.0,3
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,2946,2.06735685562533,,98,16,female,Nebraska,video games,Kinesiology and Physical Therapy,"The saddest experience I have had was when I realized that the people I cared about the most didn’t really understand the pain I was feeling. Growing up in Nebraska, I often found solace in my world of video games, where I could escape reality and feel like a hero. But despite the exhilarating adventures and challenges I faced in those digital realms, I felt more alone than ever.

It started a couple of years ago when my friends began to change. They were getting into new sports and social activities, while I was retreating further into my gaming bubble. I would often hear them talk about how “busy” they were, and I began to feel invisible. I wanted to share my struggles with them, but every time I tried to express what I was feeling, I was met with a confusing mix of sympathy and dismissal. “Just cheer up,” they would say, or “It’s just a phase.” But it felt like my sadness was so much bigger than their understanding, and this lack of empathy only deepened my isolation.

The hardest part was watching one of my closest friends, Emily, drift away. She was the one person I thought I could confide in. But as our conversations became more superficial, I felt my heart break. It was like losing a part of myself that I had hoped would always be there. 

Sometimes I think about pursuing a career in Kinesiology and Physical Therapy, where I could help others heal. Maybe it’s because I want to take my pain and turn it into something positive, but the fear of never finding that connection again lingers. This combination of losing friendships and feeling invisible in a crowded room remains the saddest experience of my life.",struggled,play alone online.,Overwhelmed,Look out and long for escape.,I actually feel overwhelmed.,My family feels distant and disconnected.,"At night, I often play video games.",Heal.,Seek help.,Deterior,Slice pizza,Play video games.,5,4,3,2,4.0,4,3,5,4,4,4,3,4,1,3,4,5,4,4,3,4,4,5,4,3,3,4,3,3,4,1,3,3,3,3,5,4,4,3,2.0,5,5,1,2,4,3,3,3,3,1,2.0,3
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2950,2.10662534066557,,98,16,male,New Jersey,collecting stones,Economics,"The saddest experience I have had happened on a rainy afternoon last fall. My friends and I had planned a trip to a local quarry, a place where I often went to collect my cherished stones. I love the feeling of finding unique rocks, each one telling a story of its own. But that day, I couldn’t shake off a heavy feeling that clung to me, even as I searched for my favorite quartz.

As we wandered through the quarry, my friends laughed and chatted, but I felt like I was in a different world, watching them from a distance. I could see them enjoying the moment, yet I felt trapped in my own sadness. I wanted to join them, to feel that joy again, but it was as if an invisible weight was holding me down. 

That afternoon, while the rain poured down, I picked up a particularly beautiful stone. Its sparkling surface reflected the gray skies, and I felt a connection to it. In that fleeting moment, I understood that even the most beautiful things could emerge from darkness. But as soon as I walked back to my friends, that moment faded, leaving me feeling more alone than ever. It’s a reminder that sometimes, sadness lingers beneath even the brightest stones in life.",collected stones.,My parents don’t know that I hide my sadness well,Uncertain.,"Look out at the world, feeling lost, but hopeful inside.",I actually enjoy collecting stones more than anything else right now.,"My family supports me, though I often feel alone.",Collect stones quietly.,Improve.,I should focus on my mental health and seek support.,Has been challenging.,The knife on the table can break glass.,Collect more stones.,3,3,2,2,3.0,3,3,1,4,3,3,3,3,3,3,2,4,4,1,4,2,3,4,3,3,3,2,3,3,3,3,3,3,4,2,4,4,1,3,3.0,2,4,1,2,3,3,3,3,3,1,2.0,4
