k,Baseline,All Texts,Top 5 Texts,MAE_pct_reduction_vs_baseline__All Texts,MAE_pct_reduction_vs_baseline__Top 5 Texts
0,NA,0.43,0.44,NA,NA
1,0.56,0.4,0.4,28.92,28.16
2,0.49,0.37,0.38,23.4,22.34
3,0.44,0.36,0.36,18.57,17.85
4,0.4,0.34,0.35,14.31,14
5,0.38,0.33,0.33,11.49,11.89
6,0.36,0.32,0.32,11.19,11.51
7,0.35,0.31,0.31,9.85,9.49
8,0.33,0.3,0.3,8.7,8.76
9,0.32,0.3,0.3,7.77,7.94
10,0.31,0.29,0.29,7,7.29
11,0.31,0.29,0.29,6.15,6.78
12,0.3,0.28,0.28,5.64,6.27
13,0.3,0.28,0.28,5.36,5.98
14,0.29,0.28,0.28,4.8,5.65
15,0.29,0.28,0.27,4.36,5.58
16,0.29,0.27,0.27,4.34,5.14
17,0.29,0.27,0.27,4.27,5.02
18,0.28,0.27,0.27,4.21,4.99
19,0.28,0.27,0.27,4.23,4.95
