k,Baseline,All Texts,Top 5 Texts,SE_pct_reduction_vs_baseline__All Texts,SE_pct_reduction_vs_baseline__Top 5 Texts
0,NA,0.42,0.47,NA,NA
1,0.69,0.4,0.44,42.74,37.14
2,0.6,0.38,0.41,37.06,31.18
3,0.55,0.36,0.4,33.33,27.46
4,0.51,0.35,0.38,30.85,25.18
5,0.48,0.34,0.37,28.77,23.31
6,0.46,0.33,0.36,27.4,22.08
7,0.44,0.33,0.35,25.81,20.43
8,0.42,0.32,0.34,24.4,19.22
9,0.41,0.31,0.34,23.33,18.17
10,0.4,0.31,0.33,22.57,17.57
11,0.39,0.31,0.32,21.85,16.91
12,0.38,0.3,0.32,21.22,16.36
13,0.38,0.3,0.32,20.77,15.97
14,0.37,0.3,0.31,20.38,15.63
15,0.37,0.3,0.31,20.02,15.32
16,0.37,0.29,0.31,19.8,15.09
17,0.36,0.29,0.31,19.57,14.87
18,0.36,0.29,0.31,19.49,14.8
19,0.36,0.29,0.31,19.46,14.78
