"q1p","q2p","q3p","q4p","q5p","q6p","q7p","q8p","q9p","q10p","q11p","q12p","q13p","q14p","q15p","q17p","q18p","q19p","q20p","ID","true_theta","theta_hat"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.91267654477963,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.7843809125939,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-2.71968717979821,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-2.69461189457622,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-2.66423264382433,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-2.63756960151806,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-2.4998326742566,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-2.49946631957457,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-2.49244569014957,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-2.48678274533877,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,-2.47727178470446,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-2.46253936847951,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,-2.44841532481901,-1.0454056232413
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,-2.4442491411398,-1.1816763339748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-2.4401754778462,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,-2.32258378462317,-1.1816763339748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,-2.31607126555173,-1.07078812349621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-2.30986687019367,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-2.26459617244397,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-2.25878146263483,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,-2.24740542910261,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-2.24575233526619,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,-2.23897080289111,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-2.23104242285596,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2.22918853570302,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-2.21502876119618,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2.17892837551652,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2.17496573980355,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-2.17366938044556,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,-2.1720334148465,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2.17010463062671,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,-2.14692283258918,-0.950653377130039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-2.09701065424029,-1.38408609700712
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-2.08946899074944,-0.9674941998325
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,-2.08825318266669,-0.731714830266428
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2.08691863733419,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,-2.08198212550922,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-2.07812009769987,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-2.07794626848109,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-2.06870425456536,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-2.0685041255835,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,-2.05814551810029,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-2.04640918042254,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-2.04451219637047,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,-2.0363193413187,-1.1816763339748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-2.03224224586303,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-2.00936021462655,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,69,-1.99712640206206,-0.89565909797438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-1.98610244303848,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,-1.94858834667375,-1.0454056232413
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,-1.94748901842836,-1.0454056232413
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-1.94139797021551,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,-1.9393965968548,-1.1816763339748
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,-1.93091504201901,-0.950653377130039
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,-1.93029369836092,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-1.92822143355524,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-1.9182137304534,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,86,-1.91004142328646,-0.812451207216125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,-1.90820601408701,-1.38408609700712
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88,-1.90232255466565,-0.733961441205149
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-1.90040374846401,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,92,-1.89853012888093,-0.89565909797438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,-1.89835452710151,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,-1.89359393451261,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,-1.89125823275094,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,-1.882859802889,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-1.88171119177549,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,-1.88058951313718,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102,-1.88055122189827,-1.27632974444581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,-1.87949781154563,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104,-1.86440059793375,-1.0454056232413
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,-1.86204103165189,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,-1.82712631680299,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,-1.82038573801519,-1.38408609700712
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,109,-1.81613713510782,-1.1816763339748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,-1.81377283236031,-1.38408609700712
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,111,-1.80665633185518,-0.989326073258636
