Threshold,k,Baseline,Top 5 Texts,All Texts
0.3,0,NA,0.02,0.29
0.3,1,0,0.16,0.42
0.3,2,0,0.32,0.45
0.3,3,0,0.41,0.48
0.3,4,0,0.44,0.5
0.3,5,0,0.48,0.52
0.3,6,0,0.51,0.54
0.3,7,0.18,0.52,0.56
0.3,8,0.26,0.54,0.57
0.3,9,0.31,0.56,0.58
0.3,10,0.35,0.57,0.6
0.3,11,0.37,0.59,0.62
0.3,12,0.4,0.59,0.62
0.3,13,0.42,0.6,0.63
0.3,14,0.43,0.6,0.63
0.3,15,0.44,0.61,0.64
0.3,16,0.45,0.62,0.64
0.3,17,0.46,0.62,0.65
0.3,18,0.46,0.62,0.65
0.3,19,0.46,0.62,0.65
0.35,0,NA,0.26,0.43
0.35,1,0,0.44,0.48
0.35,2,0,0.49,0.55
0.35,3,0,0.53,0.56
0.35,4,0,0.55,0.59
0.35,5,0.22,0.58,0.61
0.35,6,0.31,0.6,0.64
0.35,7,0.37,0.61,0.65
0.35,8,0.4,0.63,0.66
0.35,9,0.43,0.64,0.68
0.35,10,0.46,0.65,0.69
0.35,11,0.5,0.67,0.7
0.35,12,0.51,0.67,0.7
0.35,13,0.52,0.68,0.71
0.35,14,0.54,0.68,0.71
0.35,15,0.56,0.69,0.72
0.35,16,0.56,0.7,0.72
0.35,17,0.57,0.7,0.72
0.35,18,0.57,0.71,0.72
0.35,19,0.57,0.71,0.72
0.4,0,NA,0.42,0.51
0.4,1,0,0.51,0.58
0.4,2,0,0.55,0.61
0.4,3,0,0.58,0.64
0.4,4,0.26,0.61,0.67
0.4,5,0.39,0.65,0.69
0.4,6,0.46,0.68,0.72
0.4,7,0.51,0.69,0.72
0.4,8,0.54,0.71,0.74
0.4,9,0.57,0.72,0.75
0.4,10,0.59,0.73,0.76
0.4,11,0.61,0.73,0.77
0.4,12,0.62,0.74,0.78
0.4,13,0.63,0.75,0.79
0.4,14,0.64,0.75,0.79
0.4,15,0.65,0.76,0.79
0.4,16,0.66,0.76,0.8
0.4,17,0.66,0.76,0.8
0.4,18,0.66,0.76,0.8
0.4,19,0.66,0.77,0.8
