"group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"all","X3","dich","a1",1,0.91156472000116,-Inf,Inf,FALSE,"none",NA,NA
"all","X3","dich","d",2,0.832687716222808,-Inf,Inf,FALSE,"none",NA,NA
"all","X3","dich","g",3,0,0,1,FALSE,"none",NA,NA
"all","X3","dich","u",4,1,0,1,FALSE,"none",NA,NA
"all","X5","dich","a1",5,0.85697470207938,-Inf,Inf,FALSE,"none",NA,NA
"all","X5","dich","d",6,-0.253691957075983,-Inf,Inf,FALSE,"none",NA,NA
"all","X5","dich","g",7,0,0,1,FALSE,"none",NA,NA
"all","X5","dich","u",8,1,0,1,FALSE,"none",NA,NA
"all","X6","dich","a1",9,0.660998480559354,-Inf,Inf,FALSE,"none",NA,NA
"all","X6","dich","d",10,0.552541762942957,-Inf,Inf,FALSE,"none",NA,NA
"all","X6","dich","g",11,0,0,1,FALSE,"none",NA,NA
"all","X6","dich","u",12,1,0,1,FALSE,"none",NA,NA
"all","X8","dich","a1",13,0.756420293328722,-Inf,Inf,FALSE,"none",NA,NA
"all","X8","dich","d",14,-0.645849040933784,-Inf,Inf,FALSE,"none",NA,NA
"all","X8","dich","g",15,0,0,1,FALSE,"none",NA,NA
"all","X8","dich","u",16,1,0,1,FALSE,"none",NA,NA
"all","X9","dich","a1",17,0.974356384403569,-Inf,Inf,FALSE,"none",NA,NA
"all","X9","dich","d",18,-0.558074517103466,-Inf,Inf,FALSE,"none",NA,NA
"all","X9","dich","g",19,0,0,1,FALSE,"none",NA,NA
"all","X9","dich","u",20,1,0,1,FALSE,"none",NA,NA
"all","X10","dich","a1",21,1.12116608633435,-Inf,Inf,FALSE,"none",NA,NA
"all","X10","dich","d",22,0.33236385151422,-Inf,Inf,FALSE,"none",NA,NA
"all","X10","dich","g",23,0,0,1,FALSE,"none",NA,NA
"all","X10","dich","u",24,1,0,1,FALSE,"none",NA,NA
"all","X12","dich","a1",25,1.03980774806837,-Inf,Inf,FALSE,"none",NA,NA
"all","X12","dich","d",26,-0.375988207878027,-Inf,Inf,FALSE,"none",NA,NA
"all","X12","dich","g",27,0,0,1,FALSE,"none",NA,NA
"all","X12","dich","u",28,1,0,1,FALSE,"none",NA,NA
"all","X13","dich","a1",29,0.844247799031814,-Inf,Inf,FALSE,"none",NA,NA
"all","X13","dich","d",30,0.654938003441961,-Inf,Inf,FALSE,"none",NA,NA
"all","X13","dich","g",31,0,0,1,FALSE,"none",NA,NA
"all","X13","dich","u",32,1,0,1,FALSE,"none",NA,NA
"all","X15","dich","a1",33,1.17994468358547,-Inf,Inf,FALSE,"none",NA,NA
"all","X15","dich","d",34,-1.33880767332001,-Inf,Inf,FALSE,"none",NA,NA
"all","X15","dich","g",35,0,0,1,FALSE,"none",NA,NA
"all","X15","dich","u",36,1,0,1,FALSE,"none",NA,NA
