"contrast","estimate","SE","df","t.ratio","p.value"
"Consistent.Comparison.Only - Consistent.Comparison.Only..some.NA.",0.00111441157036891,0.000415330431585565,230,2.6831926717109,0.430209146198924
"Consistent.Comparison.Only - Consistent.Evidence.Only",-0.00127439987401567,0.00148250896747984,230,-0.859623720308456,1
"Consistent.Comparison.Only - Consistent.Evidence.Only..some.NA.",0.000245645269612783,0.00149809678511594,230,0.163971561819867,1
"Consistent.Comparison.Only - Varying.Comparison.Only",-0.0124396938100411,0.00245449926174153,230,-5.06811878249044,4.53951037342036e-05
"Consistent.Comparison.Only - Varying.Evidence.Only",-0.0108695510703129,0.00201540397085682,230,-5.39323690311667,9.43130797050955e-06
"Consistent.Comparison.Only - Varying.Evidence.Only..some.NA.",-0.00803236729623202,0.00201864317614496,230,-3.97909218982008,0.00510102150004019
"Consistent.Comparison.Only - Best.Single.Item",-0.0295775846580275,0.00270887008502136,230,-10.918790392192,6.80938569677358e-21
"Consistent.Comparison.Only - Best.All.Items",0.00992725605025358,0.00135111949053565,230,7.34743012723317,1.9213862894981e-10
"Consistent.Comparison.Only - Best.All.Items..some.NA.",0.0111111868330181,0.00137793333761643,230,8.06366065011417,2.23004214881807e-12
"Consistent.Comparison.Only - Closed.Only",-0.0505660714373954,0.00319836045340452,230,-15.80999770791,7.26882400609374e-37
"Consistent.Comparison.Only..some.NA. - Consistent.Evidence.Only",-0.00238881144438473,0.00154884821244063,230,-1.54231475053357,1
"Consistent.Comparison.Only..some.NA. - Consistent.Evidence.Only..some.NA.",-0.000868766300756173,0.00148165117189903,230,-0.586350091865872,1
"Consistent.Comparison.Only..some.NA. - Varying.Comparison.Only",-0.0135541053804101,0.0024600547840607,230,-5.50967623494832,5.28159469374598e-06
"Consistent.Comparison.Only..some.NA. - Varying.Evidence.Only",-0.0119839626406819,0.0020299056494017,230,-5.90370426537513,6.96245526995758e-07
"Consistent.Comparison.Only..some.NA. - Varying.Evidence.Only..some.NA.",-0.00914677886660104,0.00198569569446551,230,-4.60633464235973,0.000373323859006346
"Consistent.Comparison.Only..some.NA. - Best.Single.Item",-0.0306919962283965,0.00269443702210038,230,-11.3908753393209,2.1750992274849e-22
"Consistent.Comparison.Only..some.NA. - Best.All.Items",0.00881284447988457,0.00140142410529656,230,6.28849214636541,8.78077383978816e-08
"Consistent.Comparison.Only..some.NA. - Best.All.Items..some.NA.",0.00999677526264904,0.001382961202746,230,7.22852907427879,3.93421787852588e-10
"Consistent.Comparison.Only..some.NA. - Closed.Only",-0.0516804830077645,0.00316994908752657,230,-16.3032533270398,1.71232388897784e-38
"Consistent.Evidence.Only - Consistent.Evidence.Only..some.NA.",0.00152004514362846,0.000455564632932513,230,3.33661797634242,0.0543831428940386
"Consistent.Evidence.Only - Varying.Comparison.Only",-0.0111652939360255,0.00227471274639341,230,-4.90844127625707,9.56673248653036e-05
"Consistent.Evidence.Only - Varying.Evidence.Only",-0.00959515119629726,0.00179744566764907,230,-5.33821487291299,1.23657021704941e-05
"Consistent.Evidence.Only - Varying.Evidence.Only..some.NA.",-0.0067579674222164,0.0018421342073384,230,-3.66855324400094,0.0166719105866477
"Consistent.Evidence.Only - Best.Single.Item",-0.0283031847840119,0.00266402205643643,230,-10.6242306499039,5.71069522315878e-20
"Consistent.Evidence.Only - Best.All.Items",0.0112016559242692,0.00148165199291191,230,7.5602476005546,5.23801175726869e-11
"Consistent.Evidence.Only - Best.All.Items..some.NA.",0.0123855867070337,0.0015367599378735,230,8.05954554240419,2.28935394235226e-12
"Consistent.Evidence.Only - Closed.Only",-0.0492916715633798,0.00310561381113622,230,-15.8717968688276,4.54300246048409e-37
"Consistent.Evidence.Only..some.NA. - Varying.Comparison.Only",-0.0126853390796539,0.00223998195262096,230,-5.66314343060267,2.42703779624774e-06
"Consistent.Evidence.Only..some.NA. - Varying.Evidence.Only",-0.0111151963399257,0.00179945004123093,230,-6.1769963517977,1.61441806352423e-07
"Consistent.Evidence.Only..some.NA. - Varying.Evidence.Only..some.NA.",-0.00827801256584482,0.00178432410237233,230,-4.63929874333866,0.000322801079382491
"Consistent.Evidence.Only..some.NA. - Best.Single.Item",-0.0298232299276403,0.00261713076064582,230,-11.395391615924,2.10419934920623e-22
"Consistent.Evidence.Only..some.NA. - Best.All.Items",0.00968161078064078,0.00148114472870294,230,6.53657309310963,2.20765123571163e-08
"Consistent.Evidence.Only..some.NA. - Best.All.Items..some.NA.",0.0108655415634053,0.00148982827039554,230,7.29315034444913,2.66730762876535e-10
"Consistent.Evidence.Only..some.NA. - Closed.Only",-0.0508117167070082,0.00310124143701016,230,-16.3843150361085,9.25545993636926e-39
"Varying.Comparison.Only - Varying.Evidence.Only",0.0015701427397282,0.00165631998738352,230,0.947970652825689,1
"Varying.Comparison.Only - Varying.Evidence.Only..some.NA.",0.00440732651380907,0.00174723016452339,230,2.5224647578193,0.678142393080868
"Varying.Comparison.Only - Best.Single.Item",-0.0171378908479865,0.00171432283221598,230,-9.99688654081192,4.95601285250159e-18
"Varying.Comparison.Only - Best.All.Items",0.0223669498602946,0.00211298782976888,230,10.5854608082343,7.54483813041065e-20
"Varying.Comparison.Only - Best.All.Items..some.NA.",0.0235508806430591,0.00217589678621143,230,10.8235283917418,1.35724581193133e-20
"Varying.Comparison.Only - Closed.Only",-0.0381263776273544,0.00241880672284347,230,-15.762473812928,1.04342540716179e-36
"Varying.Evidence.Only - Varying.Evidence.Only..some.NA.",0.00283718377408079,0.000735898847160645,230,3.85539912859986,0.00824906859620261
"Varying.Evidence.Only - Best.Single.Item",-0.0187080335877147,0.00211508380392869,230,-8.84505547863646,1.3509597776298e-14
"Varying.Evidence.Only - Best.All.Items",0.0207968071205664,0.00199283663574658,230,10.435781211326,2.20429090476896e-19
"Varying.Evidence.Only - Best.All.Items..some.NA.",0.0219807379033308,0.0020369385954461,230,10.7910655492867,1.71614169895427e-20
"Varying.Evidence.Only - Closed.Only",-0.0396965203670827,0.0025743024156882,230,-15.4203018748559,1.41060959595092e-35
"Varying.Evidence.Only..some.NA. - Best.Single.Item",-0.0215452173617956,0.00217865347427444,230,-9.88923553754725,1.05545951459404e-17
"Varying.Evidence.Only..some.NA. - Best.All.Items",0.0179596233464856,0.00196124268920735,230,9.15726719865765,1.64948152423703e-15
"Varying.Evidence.Only..some.NA. - Best.All.Items..some.NA.",0.01914355412925,0.00191340907300212,230,10.0049458316898,4.68273496863213e-18
"Varying.Evidence.Only..some.NA. - Closed.Only",-0.0425337041411635,0.00261168290133726,230,-16.2859373622215,1.95287772669443e-38
"Best.Single.Item - Best.All.Items",0.039504840708281,0.00254859910638775,230,15.5006099661838,7.65415936936298e-36
"Best.Single.Item - Best.All.Items..some.NA.",0.0406887714910455,0.00259312142244687,230,15.6910398174304,1.79674984101656e-36
"Best.Single.Item - Closed.Only",-0.020988486779368,0.00174789377842772,230,-12.0078731547679,2.28213463291992e-24
"Best.All.Items - Best.All.Items..some.NA.",0.00118393078276448,0.000453493682989988,230,2.61068858767459,0.529643765589946
"Best.All.Items - Closed.Only",-0.060493327487649,0.00332354103802107,230,-18.2014684926738,1.03757344694379e-44
"Best.All.Items..some.NA. - Closed.Only",-0.0616772582704134,0.00336294126865254,230,-18.3402722031854,3.67621920783743e-45
