"contrast","estimate","SE","df","t.ratio","p.value"
"Consistent.Comparison.Only - Consistent.Evidence.Only",0.0121739511876864,0.00479333817044325,999,2.53976472237105,0.314811946152303
"Consistent.Comparison.Only - Varying.Comparison.Only",-0.00100981711783693,0.00658236624890014,999,-0.15341247807438,1
"Consistent.Comparison.Only - Varying.Comparison.Only..some.NA.",-0.000223632377747,0.006575625890664,999,-0.0340092915055449,1
"Consistent.Comparison.Only - Varying.Evidence.Only",-0.00290810971792636,0.00503022732455111,999,-0.578126897711501,1
"Consistent.Comparison.Only - Best.Single.Item",0.00223553756499436,0.00520005604581836,999,0.429906436641597,1
"Consistent.Comparison.Only - Best.All.Items",0.00727988825779599,0.00411795510677237,999,1.76784060754415,1
"Consistent.Comparison.Only - Closed.Only",-0.0367029984193481,0.00530480173416845,999,-6.91882567126733,2.27507006104844e-10
"Consistent.Evidence.Only - Varying.Comparison.Only",-0.0131837683055233,0.00638128955717608,999,-2.06600377359425,1
"Consistent.Evidence.Only - Varying.Comparison.Only..some.NA.",-0.0123975835654334,0.00636475690001473,999,-1.94784871758492,1
"Consistent.Evidence.Only - Varying.Evidence.Only",-0.0150820609056128,0.00547493259352855,999,-2.75474823625044,0.16745295032668
"Consistent.Evidence.Only - Best.Single.Item",-0.00993841362269206,0.00487869388824909,999,-2.03710539138967,1
"Consistent.Evidence.Only - Best.All.Items",-0.00489406292989045,0.00274352650821713,999,-1.78385844468142,1
"Consistent.Evidence.Only - Closed.Only",-0.0488769496070346,0.00621269037391518,999,-7.86727595700746,2.62585975004917e-13
"Varying.Comparison.Only - Varying.Comparison.Only..some.NA.",0.000786184740089986,0.00131198718503886,999,0.599232026848419,1
"Varying.Comparison.Only - Varying.Evidence.Only",-0.00189829260008937,0.00550930560610267,999,-0.344561136341144,1
"Varying.Comparison.Only - Best.Single.Item",0.00324535468283135,0.00545460516609239,999,0.594975178589559,1
"Varying.Comparison.Only - Best.All.Items",0.00828970537563298,0.00649278384267742,999,1.27675671583956,1
"Varying.Comparison.Only - Closed.Only",-0.0356931813015112,0.00624239204738729,999,-5.71786921272436,3.98706354672215e-07
"Varying.Comparison.Only..some.NA. - Varying.Evidence.Only",-0.00268447734017938,0.00557374928557683,999,-0.481628649341297,1
"Varying.Comparison.Only..some.NA. - Best.Single.Item",0.00245916994274134,0.00544183776971885,999,0.451900634823296,1
"Varying.Comparison.Only..some.NA. - Best.All.Items",0.00750352063554296,0.00645509617346798,999,1.16241810097025,1
"Varying.Comparison.Only..some.NA. - Closed.Only",-0.0364793660416012,0.00623367176365205,999,-5.85198698691659,1.84250099866422e-07
"Varying.Evidence.Only - Best.Single.Item",0.00514364728292075,0.00433860991368573,999,1.18555191299766,1
"Varying.Evidence.Only - Best.All.Items",0.0101879979757224,0.00566255002048116,999,1.79918904713828,1
"Varying.Evidence.Only - Closed.Only",-0.0337948887014218,0.00493051592676499,999,-6.85422969997286,3.50884978315263e-10
"Best.Single.Item - Best.All.Items",0.00504435069280151,0.00500086324976909,999,1.00869598724469,1
"Best.Single.Item - Closed.Only",-0.0389385359843426,0.00420902446162448,999,-9.25120211093148,3.66913428746796e-18
"Best.All.Items - Closed.Only",-0.0439828866771441,0.00632881821676124,999,-6.94962079344606,1.84819096929558e-10
