"contrast","estimate","SE","df","t.ratio","p.value"
"Consistent.Comparison.Only - Consistent.Evidence.Only",0.038724192074121,0.00142982261588755,999,27.0832141300851,3.98905045032907e-120
"Consistent.Comparison.Only - Varying.Comparison.Only",0.0151492898455779,0.00216513199983429,999,6.99693591279301,1.3409306274504e-10
"Consistent.Comparison.Only - Varying.Comparison.Only..some.NA.",0.0152306886486871,0.00216715864162747,999,7.02795280240737,1.0854686134358e-10
"Consistent.Comparison.Only - Varying.Evidence.Only",-0.0144171554752386,0.00138743779282772,999,-10.391208564281,1.22004028798678e-22
"Consistent.Comparison.Only - Best.Single.Item",-0.0301171765671887,0.00172138921399214,999,-17.4958552792037,1.51619454525804e-58
"Consistent.Comparison.Only - Best.All.Items",0.0406384504735031,0.00115842085379932,999,35.0809037494615,6.52694267163507e-175
"Consistent.Comparison.Only - Closed.Only",-0.093394105830268,0.00194007449767226,999,-48.1394430689771,4.32815804958132e-261
"Consistent.Evidence.Only - Varying.Comparison.Only",-0.0235749022285431,0.00218905374424733,999,-10.7694488043047,3.2347686960618e-24
"Consistent.Evidence.Only - Varying.Comparison.Only..some.NA.",-0.0234935034254339,0.00218956137090536,999,-10.729776172348,4.75622689484703e-24
"Consistent.Evidence.Only - Varying.Evidence.Only",-0.0531413475493596,0.00163193685989872,999,-32.5633600509872,1.16230487400792e-157
"Consistent.Evidence.Only - Best.Single.Item",-0.0688413686413097,0.00155913984705338,999,-44.1534277835391,1.42615118631178e-235
"Consistent.Evidence.Only - Best.All.Items",0.00191425839938205,0.000823390655734752,999,2.32484834027398,0.567831732277876
"Consistent.Evidence.Only - Closed.Only",-0.132118297904389,0.00216736045141395,999,-60.9581566454243,0
"Varying.Comparison.Only - Varying.Comparison.Only..some.NA.",8.13988031090965e-05,0.000302200690129997,999,0.269353465321609,1
"Varying.Comparison.Only - Varying.Evidence.Only",-0.0295664453208166,0.00176209212128188,999,-16.7791711702948,2.07296060346913e-54
"Varying.Comparison.Only - Best.Single.Item",-0.0452664664127666,0.00199506533122029,999,-22.6892150870464,8.34180084590426e-91
"Varying.Comparison.Only - Best.All.Items",0.0254891606279251,0.00220232223024515,999,11.5737653091245,1.03267510352806e-27
"Varying.Comparison.Only - Closed.Only",-0.108543395675846,0.00183416682823802,999,-59.178583978709,0
"Varying.Comparison.Only..some.NA. - Varying.Evidence.Only",-0.0296478441239256,0.0017901660664173,999,-16.5615049240993,3.57998244517507e-53
"Varying.Comparison.Only..some.NA. - Best.Single.Item",-0.0453478652158757,0.00199688347474768,999,-22.7093196920795,6.16953912262846e-91
"Varying.Comparison.Only..some.NA. - Best.All.Items",0.025407761824816,0.00219801173051667,999,11.5594295845017,1.1965709713032e-27
"Varying.Comparison.Only..some.NA. - Closed.Only",-0.108624794478955,0.00183565936447374,999,-59.1748101969324,0
"Varying.Evidence.Only - Best.Single.Item",-0.0157000210919501,0.00145425520530877,999,-10.7959187869069,2.49961374424192e-24
"Varying.Evidence.Only - Best.All.Items",0.0550556059487416,0.00164554408011245,999,33.4573875073461,8.50439229975883e-164
"Varying.Evidence.Only - Closed.Only",-0.0789769503550294,0.00157424115042262,999,-50.1682669988821,9.16471903915799e-274
"Best.Single.Item - Best.All.Items",0.0707556270406918,0.00158041687502179,999,44.770230031691,1.42527952908586e-239
"Best.Single.Item - Closed.Only",-0.0632769292630793,0.00154722826753121,999,-40.8969578639133,3.66794426937731e-214
"Best.All.Items - Closed.Only",-0.134032556303771,0.00220628017130163,999,-60.7504695220536,0
